;Entite;Label;liste_contxt_gauche;liste_contxt_droit
34;rue du Perron;LOC;avaron demeure ;, le jardin de 
35;Comté;LOC;'est pas de la ;, dit monsieur 
36;Besançon;LOC;nu s'établir à ; ? C'est une id
37;la France;LOC;De tout temps, ; et l'Angleterr
38;Angleterre;LOC;la France et l'; ont fait un éc
39;Paris;LOC;ons anglaise à ; se nomme franç
40;Londres;LOC;me française à ;, et réciproque
41;Anglaise;LOC;portés par une ; à Paris furent
42;Paris;LOC;une Anglaise à ; furent inventé
43;Londres;LOC;ent inventés à ;, on sait pourq
44;Française;LOC;rquoi, par une ;, la fameuse du
45;Portsmouth;LOC;se duchesse de ;" ; on commença "
46;Anglaise;LOC;ue la première ; qui parut aux 
47;Tuileries;LOC; qui parut aux ; faillit être é
48;l'Europe;LOC; les femmes de ; pendant un dem
49;Paris;LOC;nglaises, tout ; alla voir Poth
50;Pothier;LOC;aris alla voir ; et Brunet dans
51;Brunet;LOC;oir Pothier et ; dans les Angla
52;Françaises;LOC; ceintures des ;, qui leur coup
53;Angleterre;LOC;uis dix ans, l'; nous a fait de
54;Avez;LOC;ed de Musset : ;-vous vu dans B
55;Barcelone;LOC;z-vous vu dans ;... C'est ma ma
56;Paris;LOC;e bêtise amuse ;, qui dévore au
57;Paris;LOC;n promena dans ; sa crinière, s
58;Besançon;LOC;triotes. Donc, ; jouissait, en 
59;Besançon;LOC;seul qui, dans ;, descende d'un
60;L'Espagne;LOC;lle espagnole. ; envoyait des g
61;Comté;LOC;faires dans la ; , mais il s'y 
62;Espagnols;LOC;ait fort peu d';. Les Soulas y 
63;Besançon;LOC;urs de quitter ;, ville triste,
64;rue Neuve;LOC; au bout de la ;, à l'endroit o
65;Préfecture;LOC;c la rue de la ;". 
Le jeune mon"
66;de Besançon;LOC; aux grisettes ; : quatre cent 
67;Paris;LOC; fournitures à ; en parfumeries
68;Besançon;LOC;rait encore, à ; surtout, combi
69;Paris;LOC; nous voyons à ; des femmes acc
70;Hollande;LOC;se de toile de ;" ? 
Si cet info"
71;Suisse;LOC; trois fois en ;, en char et à 
72;Paris;LOC;" ; deux fois à ";, et une fois d
73;Paris;LOC;et une fois de ; en Angleterre.
74;Angleterre;LOC;is de Paris en ;. Il passait po
75;Angleterre;LOC;vait dire : En ;, où je suis al
76;Angleterre;LOC;i êtes allé en ;, etc. Il avait
77;Lombardie;LOC;oussé jusqu'en ;, il avait côto
78;d'Italie;LOC;ôtoyé les lacs ;. Il lisait les
79;de Besançon;LOC;plus bel homme ;. Un coiffeur, 
80;Besançon;LOC;re d'expliquer ; en quelques mo
81;Progrès;LOC;e et muette au ;. A Besançon, l
82;Besançon;LOC; au Progrès. A ;, les administr
83;Paris;LOC;vernement, que ; y envoie occup
84;Colonie;LOC;la colonie. La ; est le terrain
85;Clermont-Mont-Saint-Jean;LOC;'exception des ;, des Beauffrem
86;Gramont;LOC;s de Scey, des ; et de quelques
87;Comté;LOC; n'habitent la ; que dans leurs
88;Vienne;LOC;r à la cour de ;, car les Bison
89;Bisontins;LOC;ienne, car les ; feraient en ce
90;Nodier;LOC;ictor Hugo, de ;, de Fourier, l
91;de France;LOC;eures familles ;, quand il s'en
92;Besançon;LOC;s sous-pieds à ;. Ceci vous exp
93;Besançon;LOC;ien comprendre ;". 
Quelque temp"
94;Préfecture;LOC;e commence, la ; éprouva le bes
95;Paris;LOC;faire venir de ; un rédacteur p
96;Gazette;LOC;ntre la petite ; que la grande 
97;Gazette;LOC; que la grande ; avait pondue à
98;Besançon;LOC;avait pondue à ;, et contre le 
99;Patriote;LOC;, et contre le ;, que la Républ
100;Paris;LOC;ait frétiller. ; envoya un jeun
101;Comté;LOC;e, ignorant sa ;, qui débuta pa
102;-Besançon;LOC; par un premier; de l'école du 
103;Charivari;LOC; de l'école du ;. Le chef du pa
104;Hôtel-de-Ville;LOC; un homme de l';, fit venir le 
105;Bisontins;LOC;ine au ton des ;". 
Le rédacteur"
106;de Besançon;LOC;ime des salons ;, ce fut pure v
107;Parisiens;LOC;rir aux nobles ; en voyage dans
108;Comté;LOC;voyage dans la ; un jeune homme
109;Amédée;LOC;s été du pays. ; voulait arrive
110;Watteville;LOC;ademoiselle de ; atteignait don
111;Amédée;LOC;recommandaient ; à l'attention 
112;Watteville;LOC;éculation. Les ;, riches depuis
113;de Besançon;LOC; haute société ;, les lundis et
114;Watteville;LOC;ademoiselle de ;. La baronne ét
115;Besançon;LOC; son rang dans ;, et l'en estim
116;de Besançon;LOC; les grisettes ; qui le regarda
117;Paris;LOC;me à la mode à ;, où il irait c
118;de Besançon;LOC;nt jeune homme ;, personne n'os
119;Rupt;LOC; de l'hôtel de ;, et tout Besan
120;Besançon;LOC; Rupt, et tout ; le regardait c
121;Amédée;LOC; la baronne et ;, auxquelles la
122;Rupt;LOC; de l'hôtel de ; que sa mère qu
123;de France;LOC;ne, l'histoire ;, et les quatre
124;Watteville;LOC;ademoiselle de ; était une jeun
125;Besançon;LOC;modes faites à ;, la rendaient 
126;Paris;LOC;e aux modes de ; d'où elle tira
127;Rupt;LOC;du sang des de ;. Mais ces qual
128;Belzébuth;LOC;le a plus d'un ; dans sa peau !
129;Watteville;LOC; caractère des ; et des de Rupt
130;Rupt;LOC;ille et des de ; se faisait jou
131;de Besançon;LOC;toute la ville ; croyait bien p
132;Grancey;LOC; noble abbé de ;. Philomène ne 
133;Parisien;LOC;el National un ; qui, après avo
134;rue du Perron;LOC;iselle Calard, ;. Puis, l' étra
135;Conseillers de la cour;LOC;iels, chez les ; et chez tous l
136;Savaron;LOC;". 
– Le nom de "; est célèbre, d
137;Savaron de Savarus;LOC;éraldique. Les ; sont une des p
138;de Belgique;LOC;iches familles ;". 
– Il est Fra"
139;Brabant;LOC; n'y a plus en ; qu'une demoise
140;Savarus;LOC;une demoiselle ;, une riche hér
141;Savarus;LOC; d'un comte de ; est noble, rep
142;Continuez;LOC;"sait bien ! 
– ";", Amédée. 
– Vo"
143;Amédée;LOC;" 
– Continuez, ";". 
– Vous compr"
144;Besançon;LOC;méroté comme à ;, Albert Savaro
145;Besançon;LOC;e sait pas son ;. Qui diable a 
146;Savaron;LOC;après, plus de ;. Il a pris pou
147;Saint-Jean;LOC;le dimanche, à ;, mais à la pre
148;rue du Perron;LOC; au coin de la ;, j'ai vue sur 
149;Besançon;LOC;yer de venir à ;, monsieur de G
150;– A;LOC;" pas eu tort. 
";-t-il donc quel
151;Palais;LOC;m'a surpris au ; par sa facilit
152;Paris;LOC; a-t-il quitté ; ? Dans quel de
153;Besançon;LOC; est-il venu à ; ? on ne lui a 
154;Bisontins;LOC;e lui mais les ; ne l'y laisser
155;Paris;LOC; du barreau de ;, je pense que 
156;Watteville;LOC;ademoiselle de ; à ce gros comt
157;Rupt;LOC;iens comtes de ; ! Amédée ne lu
158;Watteville;LOC;ademoiselle de ; par l'impruden
159;Rupt;LOC; de l'hôtel de ;". 
– Que serais"
160;Saint-Jean;LOC;e conférence à ; avec l'abbé Gi
161;Sois;LOC;"gronderait. 
– "; tranquille, ré
162;Rupt;LOC;e fille des de ;". 
Ainsi Philom"
163;Watteville;LOC;ademoiselle de ;". 
– Voici la p"
164;Watteville;LOC;ademoiselle de ;. Or, Albert Sa
165;Watteville;LOC;ademoiselle de ; eut bientôt ch
166;Besançon;LOC; s'abattre sur ; ? oh ! je veux
167;Watteville;LOC;ademoiselle de ; avait reçu ce 
168;Watteville;LOC;se monsieur de ;" ? 
– Mais c'es"
169;Avez;LOC;"erait-on... 
– ";-vous, Philomèn
170;Watteville;LOC;et du baron de ; en indiquant p
171;lierres;LOC;s viornes, des ;, des chèvrefeu
172;Watteville;LOC;"stique. 
– Les "; font faire que
173;Besançon;LOC;disait-on dans ;". 
– Ils sont r"
174;Mille;LOC;" fantaisie. 
– "; écus ?... dit 
175;Paris;LOC;ir un homme de ; pour rustiquer
176;Savaron;LOC;à sa retraite, ; ne se montra n
177;Besançon;LOC;ne ville comme ;, abondent pour
178;de Besançon;LOC; haut commerce ;, il y fondait 
179;de Besançon;LOC; aux destinées ;, la ville où d
180;Mulhouse;LOC; transit entre ; et Lyon, le po
181;Lyon;LOC;re Mulhouse et ;, le point capi
182;Rhin;LOC;pital entre le ;" et le Rhône. 
"
183;Rhône;LOC; le Rhin et le ;". 
Pour rivalis"
184;Strasbourg;LOC;rivaliser avec ;, Besançon ne d
185;Besançon;LOC;ec Strasbourg, ; ne devait-il p
186;l'Est;LOC;ux intérêts de ;. Quelle gloire
187;Strasbourg;LOC;ire de ravir à ; et à Dijon leu
188;Dijon;LOC;trasbourg et à ; leur influence
189;l'Est;LOC;re, d'éclairer ; de la France, 
190;Dôle;LOC;fit un appel à ;, à Dijon, à Sa
191;Dijon;LOC;ppel à Dôle, à ;, à Salins, à N
192;Salins;LOC;le, à Dijon, à ;, à Neufchâtel,
193;Neufchâtel;LOC;n, à Salins, à ;, dans le Jura,
194;Jura;LOC;hâtel, dans le ;, Bourg, Nantua
195;Bourg;LOC; dans le Jura, ;, Nantua, Lons-
196;Nantua;LOC;e Jura, Bourg, ;, Lons-le-Sauni
197;Lons-le-Saunier;LOC;Bourg, Nantua, ;. On y réclama 
198;Bugey;LOC;s provinces du ;, de la Bresse 
199;Bresse;LOC;u Bugey, de la ; et de la Comté
200;Comté;LOC;resse et de la ;. Grâces aux re
201;de Besançon;LOC;seule personne ; avec laquelle 
202;Savaron;LOC;approbation de ;. Dans sa conve
203;de France;LOC;s les journaux ; qu'Albert lut 
204;Nouvelle;LOC; contenait une ;, signée A. S.,
205;de Besançon;LOC; haute société ; accordait à ce
206;Nouvelle;LOC;cette première ; éclose dans la
207;Comté;LOC;éclose dans la ;". 
– Mon père, "
208;Besançon;LOC;it une Revue à ;, tu devrais bi
209;Empressé;LOC;" la prêteras. 
"; d'obéir à sa c
210;Parisien;LOC;ition due à un ; qui apportait 
211;Nouvelle;LOC;aleur de cette ;. Elle espérait
212;Chavoncourt;LOC;iques du salon ;, Albert aurait
213;Suisse;LOC;e parcourir la ;, partirent de 
214;Lucerne;LOC;, partirent de ; par une belle 
215;Fluelen;LOC; et allaient à ; en se prometta
216;lac des Quatre-Cantons;LOC;arrêter sur le ; à tous les lie
217;Lucerne;LOC;aysages qui de ; à Fluelen envi
218;Fluelen;LOC;i de Lucerne à ; environnent le
219;Gersau;LOC;rmant bourg de ;, l'un des deux
220;Lucerne;LOC;lions faire de ; notre quartier
221;Suisse;LOC;our visiter la ;, tu ne trouver
222;Lucerne;LOC;rai chercher à ; tous nos bagag
223;– Ici;LOC;"à ton retour. 
"; ou à Lucerne, 
224;Lucerne;LOC;"r. 
– Ici ou à ";, dit Léopold, 
225;Suisse;LOC;e voyage de la ;. Par un effet 
226;Étude;LOC;éjà promis à l'; d'un notaire à
227;Paris;LOC;d'un notaire à ;. Son esprit de
228;Paris;LOC;yait notaire à ; : sa vie était
229;Parisiennes;LOC;lus charmantes ; et d'un homme 
230;Anglais;LOC;nir ce que les ; appellent un p
231;Saint-Gothard;LOC;on projetée au ;. Pendant qu'on
232;Suisse;LOC; général de la ;. On lui offrit
233;lac des Quatre-Cantons;LOC;ecommandent le ; à l'admiration
234;Suisse;LOC;us frottiez un ;, il reparaît u
235;Saint-Gothard;LOC;n excursion au ;, et il regarda
236;Neufchâtel;LOC;s tonneliers à ;, il les questi
237;canton de Lucerne;LOC;donné l'air du ;. Ces deux Angl
238;Anglais;LOC;erne. Ces deux ;, arrivés sans 
239;Madre;LOC; et à l' isola ; , sur le lac M
240;lac Majeur;LOC;Madre , sur le ;. Ces Suisses, 
241;Suisses;LOC;ac Majeur. Ces ;, riches d'envi
242;Lovelace;LOC;eur maison aux ; à raison de de
243;vieux Lovelace;LOC; trois ans. Le ;, vieillard non
244;Lovelace;LOC;res. Aussi les ; n'osaient-ils 
245;Gersau;LOC; son passage à ;. On donnait di
246;Lucerne;LOC;loyer, venu de ;, car elle para
247;îles Borromées;LOC;jardiniers des ;, car il vit en
248;l'Afrique;LOC;e une fille de ;, ou tout au mo
249;Sicilienne;LOC;t au moins une ;. Cette petite 
250;la Havane;LOC;d'un cigare de ;, des yeux de f
251;– A;LOC;"s mouvements. 
"; qui cette peti
252;Angleterre;LOC;urs pas née en ;" ! 
– Ils l'aur"
253;Indes;LOC;tre amenée des ;, répondit mada
254;jardin Bergmann;LOC;ndait, dans le ;, une allée de 
255;Anglais;LOC;e la qualité d'; cachait une ru
256;Italiens;LOC;". 
– C'est des "; réfugiés, se d
257;Autriche;LOC;la police de l'; ou de la Sarda
258;Sardaigne;LOC;riche ou de la ;. La jeune fill
259;Italienne;LOC;n français à l';, je ne suis pa
260;Italienne;LOC;na , s'écria l';". 
– Elle m'a m"
261;Angleterre;LOC; de taffetas d';, et l'appliqua
262;Italienne;LOC;empla la belle ;, qui se laissa
263;Italienne;LOC;a était bien l'; classique, et 
264;Italiennes;LOC;us voulez, les ;. Ce qui saisit
265;Français;LOC;t. L'imprudent ; ne put qu'entr
266;Lucerne;LOC;oya chercher à ; le meilleur ch
267;Lucerne;LOC;rgea d'aller à ; chercher les b
268;Bâle;LOC;is allaient de ; à Lucerne, la 
269;Lucerne;LOC;ient de Bâle à ;, la fatale let
270;la France;LOC;il partit pour ; muni d'une pro
271;Gersau;LOC;ainsi rester à ;, le seul lieu 
272;Français;LOC;ation du jeune ;, son désespoir
273;Français;LOC;e vint voir le ;, afin de donne
274;Italien;LOC;mann, le vieil ; laissa pénétre
275;Français;LOC; sa qualité de ; qui excluait t
276;Italienne;LOC;e eux. Quand l';, effrayée de l
277;Virginie;LOC;t un jasmin de ; qui enveloppai
278;Italienne;LOC;uveau la jeune ; regarda Rodolp
279;Laissons;LOC;"élicatesse. 
– "; ce sujet de co
280;Naples;LOC; révolution de ;, du Piémont et
281;Piémont;LOC; de Naples, du ; et d'Espagne. 
282;Espagne;LOC;u Piémont et d';. En sortant, i
283;Autriche;LOC;pirateur que l'; désire le plus
284;Italienne;LOC; sur le lac. L'; accepta, sans 
285;Italienne;LOC;dont s'assit l'; au bout de la 
286;Moyen-Âge;LOC;le eût joui au ;. Elle semblait
287;Italienne;LOC;condition de l'; et ses manière
288;Lucerne;LOC;"it-il. 
– Vers ";, répondit en f
289;Italie;LOC;avons aimer en ;" ; mais je conn"
290;– Est;LOC;" en souriant. 
";-ce, répliqua-t
291;Faut;LOC;ma naissance ? ;-il un blason à
292;Milan;LOC;otre amour ? A ;, les plus beau
293;Canova;LOC;noms : Sforza, ;, Visconti, Tri
294;Visconti;LOC;forza, Canova, ;, Trivulzio, Ur
295;Trivulzio;LOC;ova, Visconti, ;, Ursini sont é
296;Archinto;LOC;es, il y a des ;" apothicaires ;"
297;Pilate;LOC;r la chaîne du ;, le Rhigi, et 
298;Italienne;LOC;io , s'écria l'; attendrie. C'e
299;Italienne;LOC;ui distingue l'; de la Français
300;Française;LOC;talienne de la ;. Les eaux, la 
301;Lucerne;LOC;rque venait de ;" ; Gina, qui de"
302;Italienne;LOC; même ligne. L'; et l'Italien p
303;Italien;LOC;Italienne et l'; parlèrent avec
304;Italie;LOC;it pas allé en ;, que Rodolphe 
305;Francesca;LOC;t de lettres à ; qui se mit à l
306;Retournez;LOC;"ieu à Tito. 
– "; promptement à 
307;Gersau;LOC; promptement à ;, dit-elle aux 
308;Italienne;LOC;quand il vit l'; achevant sa de
309;Saint-Gothard;LOC;u venir par le ;, ni par le Mon
310;Mont-Cenis;LOC;ard, ni par le ;, ni par le Sim
311;Simplon;LOC;nis, ni par le ; : il est venu 
312;Marseille;LOC;u par mer, par ;, il a dû trave
313;la France;LOC;a dû traverser ;. Enfin, dans t
314;Genève;LOC; nous serons à ;, et nous y viv
315;lac de Genève;LOC;u parisien, le ; ne vaudra-t-il
316;lac des Quatre-Cantons;LOC;il pas bien le ;" ?... 
– Permet"
317;Sicile;LOC;tite chèvre de ; ! fit Francesc
318;Italienne;LOC;it la main à l';, la reconduisi
319;Italien;LOC;t conservé, un ; sec, droit com
320;Paris;LOC; ! je jouais à ; du temps de l'
321;Italie;LOC;contre-sens en ;, il m'eût fall
322;Français;LOC;a, monsieur le ; ? — Mais ils s
323;Emilio;LOC; frère cadet d'; fut trahi par 
324;Parisienne;LOC;rais comme une ;" ? 
Le lendemai"
325;Français;LOC;tion. Le jeune ; reconnut en Fr
326;baie de Naples;LOC;journée, ou la ;. Emilio, dit-e
327;Genève;LOC;accompagniez à ;. Genève est un
328;Genève;LOC;niez à Genève. ; est une ville 
329;Genève;LOC;ous viendrez à ;, voyez d'abord
330;Vevay;LOC; alla chercher ; par le chemin 
331;Italienne;LOC;ndait la belle ;, il arriva ver
332;Genève;LOC;is d'octobre à ;. Pour éviter l
333;Eaux-Vives;LOC;son située aux ; en dehors des 
334;Milanais;LOC; italiens, des ;" à Genève. 
-- "
335;Genève;LOC;des Milanais à ;". 
-- Non, que "
336;Villa-Diodati;LOC;ituée entre la ; et la campagne
337;Genève;LOC;rniers venus à ;, et ils ne son
338;Milanais;LOC; ne sont point ;. Il a fallu de
339;Genève;LOC;e résider ici. ; ne veut rien f
340;la Sainte-Alliance;LOC;qui déplaise à ;, à qui elle do
341;Russes;LOC;gers ici : des ;, des Anglais. 
342;Anglais;LOC;es Russes, des ;". 
– Il y a mêm"
343;Genevois;LOC;l y a même des ;". 
– Oui, monsi"
344;Villa-Diodati;LOC; environ, à la ; que maintenant
345;Ferney;LOC; Coppet, comme ;". 
– Vous ne po"
346;Milan;LOC;un libraire de ; et sa femme, u
347;Villa-Diodati;LOC; pour objet la ;, cette résiden
348;Eaux-Vives;LOC;chemin qui des ; côtoie le lac 
349;lac de Genève;LOC;ives côtoie le ; est, comme tou
350;Suisse;LOC; les routes de ;, assez étroit,
351;– N';LOC;" Gandolphini. 
";est-ce pas elle
352;Pourvu;LOC;"s le passé. 
– ";, se dit enfin 
353;Italienne;LOC;iccio pour une ;. Mais quel cri
354;Moyen-Âge;LOC;es familles du ;, pour la femme
355;Genève;LOC;'on découvrait ;, le Jura et se
356;Jura;LOC;ait Genève, le ; et ses colline
357;Eaux-Vives;LOC; lentement aux ; préoccupé de l
358;Gersau;LOC; sa conduite à ;. L'air naturel
359;Italiennes;LOC;rticulière aux ; et qui n'a tou
360;Genève;LOC;lies femmes de ; et d'autres It
361;Italiennes;LOC;ve et d'autres ;, parmi lesquel
362;Tinti;LOC;use cantatrice ; qui chantait e
363;Tinti;LOC;r elle, par la ;, par Génovèse 
364;l'Italie;LOC;belles voix de ;, il est facile
365;Tinti;LOC;de jalousie la ;, tant elles fu
366;Méditerranée;LOC;ble doré de la ; sous l'onde. E
367;Français;LOC;i naturels aux ; dans l'express
368;Tinti;LOC;a vie comme la ;, et qui peut d
369;Amadis;LOC;drait alors un ; ? Ceci n'est p
370;l'Italie;LOC;due au-delà de ;. Elle cache so
371;château des Colonna;LOC; dans le vieux ;. Cette riche h
372;États-Romains;LOC;aux partis des ;. Sa sœur aînée
373;Sicile;LOC;iétaires de la ;, Francesca lui
374;Colonna;LOC;e famille. Les ; et les Gandolp
375;Gandolphini;LOC;Colonna et les ; s'étaient touj
376;bibliothèque des Colonna;LOC;it lu toute la ; pour donner le
377;Genève;LOC;tout l'hiver à ;. Cet hiver pas
378;Française;LOC;Elle n'est que ; et je suis Ita
379;Italienne;LOC;ise et je suis ;"... 
Francesca "
380;– Pardon;LOC;"eau les yeux. 
";, reprit-il. Et
381;Naples;LOC;rons plus qu'à ;". 
Malgré la sé"
382;Paris;LOC;". 
De retour à ";, Rodolphe trou
383;Genève;LOC;vait passé par ; en allant en I
384;Italie;LOC;e en allant en ;. Comme il s'ét
385;Politique;LOC; demander à la ; ce que l'Indus
386;l'Industrie;LOC;litique ce que ; lui avait refu
387;Naples;LOC;r du courage à ;, où le prince 
388;Gandolphini;LOC;ois à la villa ;, bercé d'espér
389;Watteville;LOC;ademoiselle de ; avait les joue
390;Nouvelle;LOC;de rage. Cette ;, inspirée par 
391;Watteville;LOC;uait le fameux ; se déploya tou
392;Rupt;LOC; de l'hôtel de ;. Cette entrepr
393;Watteville;LOC;ademoiselle de ; fut témoin d'u
394;Albert;LOC;e domestique d';, à franchir la
395;femme-de-chambre;LOC;t Mariette, la ;". 
– Mariette e"
396;Rupt;LOC; de l'hôtel de ;, il fit le sié
397;la Comtoise;LOC;it étrangement ;". 
– Mariette, "
398;Ordinaire;LOC;lieu de lire l';" de la messe. 
"
399;la Nouvelle;LOC; la lecture de ;, y vit enfin u
400;Neufchâtel;LOC;ère en avoir à ;, à Berne, à Ge
401;Berne;LOC; Neufchâtel, à ;, à Genève. On 
402;Genève;LOC;el, à Berne, à ;. On en envoie 
403;Italie;LOC; exemplaire en ;, mais gratuite
404;lac Majeur;LOC;ampagne sur le ;, à Belgirate. 
405;Belgirate;LOC; lac Majeur, à ;". 
– Son nom ? "
406;Argaiolo;LOC; La duchesse d';". 
– La connais"
407;Florentine;LOC;ini, c'est une ;, une très-gran
408;Lombardie;LOC;fortunes de la ;. Leur villa su
409;lac Majeur;LOC;r villa sur le ; est une des cu
410;l'Italie;LOC; curiosités de ;". 
Deux jours a"
411;Besançon;LOC;ami, je suis à ; pendant que tu
412;Paris;LOC;horriblement à ;. Le dénouement
413;France;LOC;ire revivre en ; un beau nom qu
414;Belgique;LOC;ui s'éteint en ;, encore que je
415;Paris;LOC;litaires de ce ; qui m'avait éc
416;Sainte-Hélène;LOC;éon, non pas à ;, mais sur le q
417;Tuileries;LOC;ur le quai des ;, au 10 août, q
418;Combien;LOC;ur quatre ans. ; de discours à 
419;bois de Boulogne;LOC;es désertes du ; ? Ces improvis
420;Saint-Merry;LOC;sant blesser à ;". 
» Écoute ! Q"
421;voyais;LOC;t quand je les ; faisant ces ef
422;Paris;LOC; au barreau de ;, en voyant que
423;Paris;LOC; que ce soit à ;, cette arène o
424;de Besançon;LOC;tution sociale ;, l'impossibili
425;Comtois;LOC;éputation. Les ; ne veulent pas
426;de Besançon;LOC;us fort avocat ;. Plus tard, j'
427;Besançon;LOC;u roulage pour ;. J'ai pris mes
428;Besançon;LOC; m'a jeté dans ;, où j'ai, dans
429;de Besançon;LOC;nts négociants ; était du jury,
430;la Ville;LOC;se procès avec ; qui dure depui
431;Franche-Comté;LOC;d avocat de la ;. Mais j'enseve
432;Ville;LOC;versaire de la ;, je suis venu 
433;Besançon;LOC; majorité dans ;, il faut que j
434;Besançon;LOC;ai trouvé dans ; une maison à a
435;lac Majeur;LOC; passer sur le ; à voir les eau
436;Argaiolo;LOC;éder à celui d';. Bien plus, Lé
437;la Nouvelle;LOC; confidence de ; publiée dans l
438;Watteville;LOC;ademoiselle de ; arriva-t-elle 
439;Palais;LOC;l suffisait au ;, au contentieu
440;Watteville;LOC;ademoiselle de ;". 
A MADAME LA "
441;Lac Majeur;LOC;"
A BELGIRATE, 
";" . ITALIE. 
A s"
442;Thecel;LOC; briller Mané, ;, Pharès aux ye
443;Pharès;LOC; Mané, Thecel, ; aux yeux de Ba
444;Lirai;LOC;"dangereuse. 
– ";-je ? ne lirai-
445;Chavoncourt;LOC;les petites de ;. L'une avait s
446;Voulez;LOC; me disant : — ;-vous aller à l
447;Comté;LOC; me vouer à la ; que j'aime et 
448;l'Europe;LOC; à mon pays, à ;. Mon nom te se
449;Besançon;LOC;s venu vieux à ;, et Besançon m
450;Besançon;LOC;à Besançon, et ; m'a vieilli en
451;Argaiolo;LOC;veuve du duc d'; ! Le triomphe 
452;lac de Constance;LOC;ns ta villa du ;. Voici onze an
453;Milan;LOC;e, ne va pas à ;, reste à Belgi
454;Belgirate;LOC;Milan, reste à ;. Milan m'épouv
455;Milan;LOC;e à Belgirate. ; m'épouvante. J
456;la Scala;LOC;us les soirs à ; avec une douza
457;Vue;LOC;ds toujours la ; de Belgirate a
458;Belgirate;LOC;ours la Vue de ; au midi et cel
459;Nouvelles;LOC;vions point de ;, et une Revue 
460;Paris;LOC;ien mieux qu'à ;. Quoique je tr
461;Alpes;LOC;éparés par les ;, nous vivons e
462;Paris;LOC; tu viendras à ; pour assister 
463;Belgirate;LOC;idée d'aller à ;, mon cœur bat 
464;Belgirate;LOC;ais tout est à ; : là est la po
465;Italien;LOC;ter. Est-ce un ; que le duc ? m
466;Espérance;LOC; flambeau de l';, qui jusqu'alo
467;Argaiolo;LOC;une duchesse d';. Dans le silen
468;Philomènes;LOC;aucoup trop de ;, et cette hist
469;Besançon;LOC;s immense dans ;. Sûr de son su
470;de Besançon;LOC;n des faiseurs ;, un riche entr
471;Romains;LOC;"nfluence. 
Les "; se sont partou
472;Besançon;LOC;leur empire. A ;, ils buvaient 
473;Arcier;LOC;ent les eaux d';, montagne situ
474;de Besançon;LOC;rande distance ;. Besançon est 
475;Besançon;LOC;e de Besançon. ; est une ville 
476;Doubs;LOC; décrit par le ;. Ainsi rétabli
477;Romains;LOC; l'aqueduc des ; pour boire l'e
478;Romains;LOC;e buvaient les ; dans une ville
479;Doubs;LOC;arrosée par le ;, est une de ce
480;Bisontins;LOC;it au cœur des ;, elle devait o
481;Doubs;LOC; décida que le ; n'était bon qu
482;Bourgeois;LOC;bles comme les ;, le Juste-mili
483;Légitimistes;LOC;lieu comme les ;, le Gouverneme
484;Gouvernement;LOC;gitimistes, le ; comme l'opposi
485;Romains;LOC;oire l'eau des ; et jouir d'un 
486;Besançon;LOC;e du jour dans ;. A Besançon, c
487;Besançon;LOC;ns Besançon. A ;, comme pour le
488;Versailles;LOC;mins de fer de ;, comme pour de
489;de France;LOC; plus immobile ; et la plus réf
490;de Besançon;LOC;cclésiastiques ;. Aussi par mom
491;Savarus;LOC;rquable, dit à ; l'abbé de Gran
492;Savarus;LOC;mot qui frappa ;". 
De son côté,"
493;Rupt;LOC; de l'hôtel de ;. Elle bornait 
