;Entite;Label;liste_contxt_gauche;liste_contxt_droit
75;Comté;LOC;faires dans la ;", mais il
s’y é"
76;Espagnols;LOC;ait fort peu d';. Les Saules y 
77;Saules;LOC;Espagnols. Les ;" y restèrent
à "
78;"rue
Neuve";LOC; au bout de la ;, à l’endroit o
79;l’;LOC;"a rue
Neuve, à ";endroit où elle
80;Préfecture;LOC;" la rue de la.
";".

Lejeune mons"
81;Lejeune;LOC;".
Préfecture.

"; monsieur de Se
82;Babylas;LOC;", trapn, nommé
";. Le lionava1t 
83;de Besançon;LOC; aux grisettcs ;": qua—
tre cent"
84;coûtaientt’;LOC;"dide économie,
";un dans l’autre
85;l’;LOC;aientt’un dans ;autre huit cent
86;Paris;LOC; fournitures à ; en parfumeries
87;l’;LOC;"
exigeaieut de ";entretien, et d
88;l’;LOC;etien, et dont ;entretien impri
89;Ausst;LOC;"he et son jeu.
"; dînait—il souv
90;Lejeune;LOC; des ofﬁciers. ;" mon-
sieur de "
91;Seules;LOC;" mon-
sieur de "; passait pour u
92;l’;LOC; deux bouts de ;année avec une 
93;capi—;LOC;imposent à une ;"
tale! Comment "
94;Paris;LOC;" nous voyons
à "; des femmes acc
95;l’;LOC; chez elles et ;emportent sur l
96;avan—;LOC;e ces frivolcs ;"
tages qu’ongpe"
97;qu’;LOC;"cs avan—
tages ";ongpeut se proc
98;Hollande;LOC;se de toile de ;"!

Si cet intor"
99;Suisse;LOC; trois fois en ;, en char et à 
100;jour—;LOC;r et à petites ;"
nées ; deux fo"
101;Paris;LOC;" ; deux fois à ";, et une fois d
102;Paris;LOC;et une fois de ; en Angleterre.
103;Angleterre;LOC;is de Paris en ;".
Il passait po"
104;Angleterre;LOC;"vait dire : En
";. où je suis al
105;Angleterre;LOC; êtes alle‘ en ;, etc. Il avait
106;qu’;LOC;"it poussé jus-
";en Lombardie, i
107;Lombardie;LOC;"ssé jus-
qu’en ";, il avait côlo
108;d’Italie;LOC;ôloyé les lacs ;". Il lisait
les"
109;garni—;LOC;t celles de la ;"
son, une bonne"
110;de Besançon;LOC;plus bel homme ;. Un coiﬁ‘eur, 
111;Nutle;LOC;" quelques
mots."; ville n‘offre 
112;Besançon;LOC;"
au progrès. A ";, les administr
113;Paris;LOC;"vernement, que
"; y envoie occup
114;l’;LOC;nt séparées. A ;"exception des
C"
115;Clermont;LOC;"’exception des
";—Mont—Saint—Jea
116;Mont—Saint—Jean;LOC;"n des
Clermont—";, des Bcauft‘re
117;Gramont;LOC;"s de Grey,
des "; et de quelques
118;Comté;LOC; n’habitent la ;"
que dans leurs"
119;l’;LOC;eux siècles, à ;époque de la co
120;Vienne;LOC;r a la cour de ;", car
les Bison"
121;Bisonlins;LOC;"ienne, car
les "; ferment en cec
122;Nodier;LOC;ictor Hugo, de ;, de Fourier, l
123;s’;LOC;uestion, on ne ;en occupe pas. 
124;de France;LOC;"eures
familles ";, quand il s’en
125;Besançon;LOC;" sous-
picds à ";. Ceci vous exp
126;Besancon;LOC;ien comprendre ;".

Quelque temp"
127;Préfecture;LOC;"e commence,
la "; éprouva le bes
128;Gazette;LOC; que la grande ; avait pendue à
129;Besançon;LOC;avait pendue à ;", et
contre le "
130;Patriote;LOC;", et
contre le "; , que la Répub
131;la Républiquey;LOC;Patriote , que ; faisait fretil
132;Comté;LOC;e, ignorant sa ;", qui dé-
buta "
133;buta;LOC;"Comté, qui dé-
"; par un premier
134;Besançon;LOC;par un premier—; de l’école du 
135;l’;LOC;er—Besançon de ;école du Charir
136;Charirm-i.;LOC; de l’école du ;" Le
chef du par"
137;Bisonlins;LOC;ine autour des ;".

Le rédacteur"
138;de Besançon;LOC;"
me des salons ";, ce fut pure v
139;l’;LOC;" de leur part;
";aristocratie ét
140;Parisiens;LOC;rir aux nobles ; en voyage dans
141;Comté;LOC;"voyage dans la
"; un jeune homme
142;Amédée;LOC;s été du pays. ;"
voulait arrive"
143;qu’;LOC;othe‘quées, et ;"il
avait fait d"
144;Amédée;LOC;recommandaient ;" à
l’attention "
145;l’;LOC;"aient Amédée à
";attention de la
146;Watteville;LOC;éculation. Les ;", riches
depuis"
147;de Besançon;LOC; haute société ;", les lundis
et"
148;écono—;LOC;s annuellement ;"
misés et placé"
149;Philo-;LOC;830. La dot de ;"
mène devait al"
150;l’;LOC;"e haut bout de
";estime de la sé
151;Wattnvillc;LOC;ademoiselle de ;". La
baronne ét"
152;Besançon;LOC; son rang dans ;", et
l’en,estim"
153;l’;LOC;"s Besançon, et
";en,estimaitfort
154;s’;LOC;itfort. Seules ;était mis sous 
155;baron—;LOC;s l’aile de la ;"
ne quand elle "
156;qu’;LOC;re, autorisées ;"elles
sont par "
157;Com;LOC;"s s’y prendre.
"; prenez-vous po
158;BALZAG;LOC;"t sa—

284

DE ";".‘

 

 

criﬁé"
159;de Besançon;LOC;" les
grisettes "; qui le regarda
160;Paris;LOC;me a la mode à ;", où
il irait c"
161;Rupt;LOC;" de l‘hôtel
de ";, et tout Besan
162;Besançon;LOC; Rupt, et tout ; le regardait c
163;Amédée;LOC;" la baronne et
";, auxquelles la
164;l’;LOC; l‘enceinte de ;hôtel de Rupt q
165;Rupt;LOC; de l’hôtel de ;" que sa mère
qu"
166;Gulhrie;LOC;éographie dans ;, l’histoire sa
167;l’;LOC;aronne jusqu’à ;"heure du dîner;"
168;accom—;LOC;endredis, elle ;"
pagnait madame"
169;nelle;LOC;"onnance mater—
";". <

A dix—sept"
170;Watteville;LOC;ademoiselle de ;" était une
jeun"
171;etdela;LOC;e, et blanche, ;"
dernière insig"
172;l’;LOC;"ur nuisaient
à ";éclat de son fr
173;rappe—;LOC;squ'à sa pose, ;"
lait (ses vier"
174;Besançon;LOC;odes, faites à ;",
la rendaient "
175;l’;LOC; la beauté, de ;"élégance aux
mo"
176;Paris;LOC;"e aux
modes de ";, d’où elle tir
177;d’;LOC;odes de Paris, ;où elle tirait 
178;l’;LOC;t revenus dans ;âme de sa petit
179;Rupt;LOC;du sang des de ;".
Mais ces qual"
180;qu’;LOC; colline avant ;elle ne devienn
181;l’;LOC;ndit un jour à ;archevêque qui 
182;l’;LOC;r t‘enclume de ;obéissance pass
183;l’;LOC;vait lieu dans ;enceinte la plu
184;Graneey;LOC;" cher abbé

de ";, l‘ami du défu
185;grand—pénitencier;LOC; sa qualité de ; du diocèse, ne
186;fami—;LOC;rme du langage ;"
her. Aussi qua"
187;qu’;LOC;"ela
maison. et ";il nous plaît. 
188;Qu‘est;LOC;"s de torts?

— ";—ce que cela si
189;Philo-;LOC;ois quarts, et ;"
mène en ﬁt l’o"
190;de Besançon;LOC;"toute
la ville "; croyait bien p
191;Grancey;LOC; noble abbé de ;. Philomène ne 
192;s’;LOC;" apparte—
mem, ";est décidé pour
193;rue du Perron;LOC;iselle Galard, ;. Puis, l'étran
194;Conseillers de la cour;LOC;iels, chez les ;" et
chez tous l"
195;Savaron;LOC;".

— Le nom de "; est célèbre, d
196;de Belgique;LOC;es plus riches ;".

-——- il est "
197;Brabant;LOC; n’y a plus en ;" qu‘une de—
moi"
198;moiselle Savarus;LOC;"ant qu‘une de—
";, une riche hér
199;Watteville;LOC;"ﬁt monsieur
de ";. elle le sait 
200;Continuez;LOC;"ait bien!

—-— ";", Amédée.

— Vo"
201;clas—;LOC;le où tout est ;"
sé,, déﬁni, co"
202;Besançon;LOC;e sait pas son ;. Qui diable a 
203;Saverne;LOC;après, plus de ;".
Il a pris pou"
204;l’;LOC;our domestique ;ancien valet de
205;l’;LOC;"ue personne
ne ";a ni vu ni renc
206;rue du Perron;LOC;" au coin de
la ";, j’ai vue sur 
207;mysté—;LOC;son où loge ce ;"
rieux personna"
208;protoco—;LOC;urellement des ;"
les entre mon "
209;trou—;LOC;sibilité où se ;"
vait monsieur "
210;Besançon;LOC;yer de venir à ;", monsieur de
G"
211;l’;LOC;"ès. Dès que
je ";ai vu, que je l
212;A;LOC;"as eu tort.

— ";-t—il donc quel
213;Ehl;LOC;"re général.

— "; bien, explique
214;l’;LOC;re pièce après ;autichambrc (l’
215;qu’;LOC;homme Galard), ;il a fait peind
216;égale—;LOC; bibliothèques ;"
ment peintes e"
217;pantou—;LOC;rde rouge, des ;"
ﬂes rouges, un"
218;l’;LOC;"e.

— Oui, dit ";"abbé; mais une "
219;yeux_de;LOC;"nez carré,
des "; feu, puis les 
220;sour—;LOC;us des arcades ;"
cilières comme"
221;Palais;LOC;"a sur—
pris au "; par sa facilit
222;l’;LOC; et creusé. Je ;"ai trouvé
voûté"
223;Paris;LOC; a-t-il quitté ;"?
Dans quel des"
224;Besançon;LOC; est—il venu à ;? On ne tut a d
225;Btsonltns;LOC;lui, mais les _;" ne ly
laissero"
226;Chavoucourt;LOC;"elle madame
de ";". _ ,

— Après "
227;Paris;LOC;"
du barreau de ";, je pense que 
228;Save ron;LOC;stion d‘Albert ;". _ _

Le portr"
229;ge—;LOC;e des vtcaires—;"
néraux du dimè"
230;extraordi—;LOC;encontrait cet ;"
naire, ce merv"
231;Wattevitlv;LOC;"
demoiselle de "; à ce gros eomt
232;elle—;LOC;pétait—elle en ;"
même.

Puis la"
233;salëte;LOC;gination, dans ;, les moindres 
234;adver—;LOC;tion. mais nos ;"
saires y regar"
235;l’;LOC;"pour savoir si
";on parleraitenc
236;l’;LOC;"s bon-
gies de ";avocat. A l’aid
237;l’;LOC;de l’avocat. A ;aide de cette e
238;sède;LOC;"e vue que pos—
"; unejeune ﬁlle 
239;l’;LOC; la couleur de ;"a—-
meublemen—t"
240;l’;LOC; songer. Voici ;un de ces probl
241;de Besançon;LOC;"
dent chapitre ";".

Le lendemain"
242;s’ha—;LOC;Wattevillc, en ;"
billent, regar"
243;prome—;LOC;ert Savaron se ;"
menant dans le"
244;l’;LOC;igu à celui de ;"hôtel de Rupt.
"
245;Rupt;LOC; de l’hôtel de ;".

—— Que serai"
246;jus—-;LOC;tines aperçues ;"
qu‘alors, Phil"
247;l‘idée;LOC;a rapidement à ;" de pénétrer
da"
248;l’;LOC;"mais com—
ment ";"obtenir ? _

Pe"
249;lille;LOC;se de la jeune ;" qui parait,
co"
250;l’;LOC;e trouver dans ;église une seul
251;t’;LOC;ène lui dit en ;"embras—
sant: \"
252;Sois;LOC;"onderail. -

— "; tranquille, ré
253;Walteville;LOC;it monsieur du ;" qui
gémissait "
254;l’;LOC;e sa ﬁlle sous ;oppression de l
255;Bupt;LOC;le ﬁlle des de ;".

Ainsi Philom"
256;qu’;LOC;me de chambre, ;il y a des jour
257;franchis—;LOC;nt la cour, en ;"
sant la porte,"
258;événe—;LOC;ntons un grand ;"
ment. Elle ne "
259;Watleville;LOC;ademoiselle de ;. Or, Albert Sa
260;Philo-;LOC;u dominatrice. ;"
mène comprit a"
261;remar—;LOC;imprudence que ;"
qua Mariette, "
262;l’;LOC; le passage de ;avocat de maniè
263;made-—;LOC; se fut assis, ;"
moiselle de Wa"
264;Watteville;LOC;"-—
moiselle de "; eut bientôt ch
265;s’;LOC;"e, est-il venu
";abattre sur Bes
266;Besançon;LOC;"
s’abattre sur ";? Oh! je veux t
267;Watleville;LOC;ademoiselle de ; avait reçu ce 
268;l’;LOC; peut servir à ;amour, elle men
269;Watteville;LOC;se monsieur de ;"? _

— Mais c’e"
270;Avez;LOC;"erait-on...

— ";—vous, Philomèn
271;Walteville;LOC;"it ma—
dame de ";, qui voulut al
272;Wat—;LOC;et du baron de ;"
tcville en ind"
273;tcville;LOC;" baron de Wat—
"; en indiquant p
274;l’;LOC;indiquant pour ;érection du mon
275;l’;LOC;iss, mais d'où ;on voyait admir
276;admirable—;LOC;où l’on voyait ;"
ment choz mons"
277;chèvre-—;LOC;s lierres, des ;"
feuilles, cir-"
278;lapisscr l’;LOC;"venta de faire
";intérieur de la
279;Watteville;LOC;"stiqué.

— Les "; fontfaircquelq
280;Besançon;LOC;disait-on dans ;".

— ils sont r"
281;Paris;LOC;ir un homme de ; pour rustiquer
282;l’;LOC; le cabinet de ;avocat Savaron.
283;Savaron;LOC;et de l’avocat ;".

L’éclatante "
284;L’;LOC;"ocat Savaron.

";éclatante plaid
285;l’;LOC;"nt oubliée que
";envie des avoca
286;Savaron;LOC;"sa rc—
traite, "; ne se montra n
287;Besançon;LOC;ne ville comme ;, abondent pour
288;monu—;LOC;vait aussi son ;"
ment. Grâce au"
289;de Besançon;LOC; haut commerce ;. il y fondait 
290;de Besançon;LOC; aux destinées ;". la Ville où
d"
291;Ville;LOC;e Besançon. la ;" où
devait se ﬁ"
292;Mulhouse;LOC; transit entre ; et Lyon, le po
293;Lyon;LOC;re Mulhouse et ;", le point
capi"
294;Rhin;LOC;pital entre le ; et le Rhône. _
295;Rhône;LOC; le Rhin et le ;". _ _

Pour riv"
296;Strasbourg;LOC;rivaliser avec ;, Besançon ne d
297;Besançon;LOC;ec Strasbourg, ; ne devatt— 11 
298;l’Est;LOC;ux intérêts de ;". Quelle
gloire"
299;Strasbourg;LOC;ire de ravir à ; et à Diion leu
300;la France;LOC;airer l‘Est de ;, et de lutter 
301;Dôle;LOC;ceﬁt un appela ;,à Dijon,à Sali
302;Dijon;LOC; appela Dôle,à ;",à Salins,
à Ne"
303;Salins;LOC;Dôle,à Dijon,à ;",
à Neufchâtel,"
304;Neufchâtel;LOC;"on,à Salins,
à ";, dans le Jura,
305;Jura;LOC;hâtel, dans le ;, Bourg, Nantua
306;Bourg;LOC; dans le Jura, ;, Nantua, Lons—
307;Nantua;LOC;e Jura, Bourg, ;", Lons—leSaul—
"
308;Lons—leSaul—;LOC;Bourg, Nantua, ;"
nier. On y réc"
309;Bugey;LOC;s provinces du ;",
de la Bresse "
310;Bresse;LOC;"u Bugey,
de la "; et de la Comté
311;Comté;LOC;resse et de la ;. Grâce aux rel
312;com—-;LOC;x relations de ;"
marco et de co"
313;amours—;LOC;e froisser les ;"
propres de pro"
314;de Besançon;LOC;"seule personne
"; avec laquelle 
315;Savaron;LOC;approbation de ;. Dans sa conve
316;né—;LOC;ussi le ﬁls du ;"
gociant croyai"
317;de France;LOC;s les journaux ; qu’Albert lut 
318;Nouvelle;LOC; contenait une ;", Signée
A. S.,"
319;de Besançon;LOC; haute société ; accordait à ce
320;Chavoncourt;LOC;"chez madame
de ";, au milieu de 
321;Nouvelle;LOC;"cette première
"; éclose dans la
322;Comté;LOC;éclose dans la ;".

—— Mon père,"
323;t’;LOC;u devrais bien ;y abonner et la
324;Vivre;LOC;" ne se sentait
"; que depuis deu
325;l’;LOC;"il pasjuger de
";effet que cette
326;Parisien;LOC;ition due à un ;" qui ap—
portai"
327;l’;LOC;ce la manière, ;éclat, si vous 
328;rehaus—;LOC;, une idée qui ;"
sait singulièr"
329;Nouvelle;LOC;valeurde cette ;". Elle espé—
ra"
330;espé—;LOC;Nouvelle. Elle ;"
rait y trouver"
331;qu’;LOC;e consistance, ;après avoir ach
332;Chavon;LOC;"ues du sa—
lon "; court, Alberta
333;Albertaurailﬁimilé;LOC; Chavon court, ; quelques—uns d
334;écri—;LOC;elques—uns des ;"
sains modernes"
335;Suisse;LOC;e parcourir la ;, partirent de 
336;s’;LOC; promettant de ;arrêter sur le 
337;lac des Quatre—Cantons;LOC;arrêter sur le ;"
à tous les lie"
338;Lucerne;LOC;aysages qui de ;" à
Fluelen envi"
339;l’;LOC;"i-
naisons que ";imagination la 
340;torrens;LOC; arbres et aux ;".
C’est tantôt "
341;Gcrsau;LOC;rmant bourg de ;", l’un
des deux"
342;l’;LOC;urg de Gcrsau, ;"un
des deux ami"
343;Lucerne;LOC;"lions faire
de "; notre quartier
344;Suisse;LOC;our visiter la ;",
tu ne trouver"
345;Lucerne;LOC;rai chercher à ; tous nos bagag
346;-—— Ici;LOC;"à ton retour.

"; ou à Lucerne, 
347;Lucerne;LOC;"

-—— Ici ou à ";, dit Léopold, 
348;t’;LOC;ce pour que je ;empêche d’obéir
349;Suisse;LOC;"e voyage
de la ";. Par un-oﬁ‘et 
350;Paris;LOC;d’un notaire à ;". Son esprit
de"
351;Paris;LOC;"it no—
taire à ";: sa vie était 
352;l’;LOC;" de France, il
";embrassait dans
353;d’;LOC;le ﬁls naturel ;"un
grand seigne"
354;l’;LOC;s un capital à ;époque de sa ma
355;Parisiennes;LOC;lus charmantes ;" et d’un homme
"
356;d’;LOC;Parisiennes et ;"un homme

remar"
357;l’;LOC;remarquable de ;aristocratie br
358;exces—;LOC; at_ﬂigé d une ;"
sive sensibili"
359;Anglais;LOC;" ce' que les»

"; appellent un p
360;qu’;LOC;" pourra1t jus—
";à un. certain p
361;Jui;LOC;"' '

Léopold, ("; connaissait bi
362;Saint-Gotha‘rd;LOC;on projetée au ;. Pendant qu_ ’
363;l’;LOC;t à déjeuner à ;auberge du Gy@g
364;Gy@gne;LOC;à l’auberge du ; les deux amis 
365;avoi—;LOC; la partie qui ;"
sinait la char"
366;l’;LOC;"pension, selon
";u'sage général 
367;Siiisse;LOC;général .de la ;. On lui offrit
368;lac des Quatre—Cantons;LOC;ecommandent le ; »a l admiratio
369;Suisse;LOC;us frottiez un ;, il reparait u
370;Saint-Gothard;LOC;n excursion au ;,‘ et il regard
371;Sion;LOC;"er de l’ excur
"; pour le compte
372;-—- x1n;LOC;"ne

r.: nimes, ";".

:

(Extrait "
373;Extrait;LOC;" -—- x1n.

:

("; de, la Centäie
374;Neufchâtol;LOC;s tonncliers à ;, il les questi
375;L’;LOC;"ux comméragcs.
";inconnue s'appe
376;Loretess;LOC;" se ""
prononce ";, appartient à 
377;s’;LOC;ce était venue ;"éta-
blir sur l"
378;canton de Lucerne;LOC;donné l‘air du ;". Ces deux An—
"
379;qu’;LOC;tre domestique ;une petite ﬁlle
380;l’;LOC;cla Bella et à ;isola Madre, su
381;lac Majeur;LOC; Madre, sur le ;".

_Ces Suisses"
382;Suisses;LOC;" Majeur.

_Ces ";, riches d’envi
383;Lovelace;LOC;eur maison aux ;" a raison de
de"
384;ti—;LOC;disait-on, des ;"
vres anglais e"
385;qu’;LOC;n des Suisses, ;ils y perdent u
386;occa—;LOC; y perdent une ;"
sion de gain; "
387;Anglais;LOC;"sait ces
trois "; à raison de ce
388;Venu;LOC;"piano à loyer,
"; de Lucerne , c
389;Lucerne;LOC;"loyer,
Venu de "; , car elle par
390;Ette;LOC;"sique.
' —‘—_‘_";:aiine les ﬂeur
391;Borromécs;LOC;"niers des îles
";, car il vit en
392;An-daise muette;LOC; par la petite ;" en qui
Sa saga"
393;Afrique-;LOC;" une
ﬁlle de l'";, ou tout au mo
394;Sicitienne;LOC;t au moins une ;". Cette

'petit"
395;la Havane;LOC;d un cigare de ;", des

yeux de "
396;BALZAG;LOC;"nn.
31

,90 DE ";".

 

— Aux Ang"
397;Angleterre;LOC;urs pas née en ;"! ' _ .

-— Ils"
398;Indes;LOC;re amenée des, ;", repond1t
mada"
399;Bergmaun;LOC; ont salué les ;", il se trouva
"
400;Schwilz;LOC;"‘à Briinnen, à
";, et revint à l
401;jardin Bergmann;LOC;"ndait.
dans le ";, une allée .de
402;l’;LOC;"ur se glisserà
";autre sans brui
403;grand—sur;LOC;calme était si ; le lac etautou
404;l’;LOC;ac etautour de ;habitation. que
405;"mes-;,il";LOC;"ces deux, fem—
"; en conclut que
406;C’;LOC;". - , , , .

— ";est des Italien
407;Italiens;LOC;".

— C’est des "; réfugiés, se d
408;Sardaigne;LOC;"riche on de la
";. La jeune ﬁlle
409;l’;LOC;"uette furent à
";aulre extrémité
410;aulre;LOC;"tte furent à
l’"; extrémité de l
411;lune;LOC;la lueur—de la ;",
il se leva br"
412;l’;LOC;s réfugiés, je ;"ai deviné.
Moi,"
413;Gersau;LOC;"arde & cloué
à ";". - - . - Ï- -
"
414;llalienne;LOC;ina! s‘écria l’;".

— Elle m‘a m"
415;montrez-Ynoi;LOC;et! Seulement, ;" le che—=.

‘ m"
416;em=;LOC;nt les yeux__s';"
plîrent de lar"
417;chemi5e;LOC;Gina ouvrit la ; et ”suce forte
418;Angleterre;LOC;èau de crues d’;, et_ l’appdqua
419;l’;LOC;ngleterre, et_ ;appdqua ”sur la
420;France$ca;LOC;itez pas, “dit ;" d’un péâ
tit t"
421;Itàlienne;LOC;a était bien l'; classique, et 
422;italiennes;LOC;us voulez, les ;". ce
qui saisit"
423;l’;LOC;dolphe, ce fut ;"élégance et la
"
424;Bbdolphd;LOC;"ent le
bras de ";"; et leur blanc"
425;Français;LOC; L‘i'mprndent' ; ne put. qu’ent
426;Francesl}a;LOC;arahlissæirt à ; la durée de Ce
427;Lucerne;LOC;oya chercher à ; le meilleur ch
428;Lucerne;LOC;"ea d‘al—
ler à "; Chercher les b
429;Lucerne;LOC;ent de 'Bâle'à ;, la fatale let
430;Fl-ncle';LOC;"ur départ pour
";nÿ Malgré les '
431;Malgré;LOC;"our
Fl-ncle'nÿ "; les 'précaulio
432;Vit;LOC;" tùtur notaire
"; son ami bots .
433;la France;LOC;l pèrti‘t‘pour ;" muni
d’une ”pr"
434;Gerbau;LOC;ainsi rester à ;", le
seul lien "
435;Français;LOC;ation du jeune ;, son désespoir
436;circons—;LOC;espoir, et les ;"
tances qui ren"
437;Français-;LOC;e vint voir le ;, afin de donne
438;Italien;LOC;mann, le vieil ;" laissa
pénétre"
439;Français;LOC;" sa
qualité de ";, qui exclue it
440;l’;LOC;appropriées et ;e‘1tatdu cœur d
441;d’;LOC;" ex—
térieure, ";où se découvrai
442;l’;LOC;Y a- -t-il de” ;indiscrétion à 
443;Dix—neufans;LOC;"t Rodolphe.

— ";. répondit—elle
444;—elle;LOC;ufans. répondit;", mais passés.
"
445;- —;LOC;" fait évanoui.
";- Pot—croi se d
446;l’;LOC;lle, il y a de ;espoir. Mon mar
447;connais—;LOC;ingt annees de ;"
sance seulemen"
448;Virginie;LOC;t un jasmin de ; qui enveloppai
449;Temps;LOC;"r des
mains du ";? reprit—'t! av
450;achez—;LOC;avité. Mais,s <;" le. -
si vous "
451;.3.——;LOC;"rd a si bien

_";"… ...—. : ;. ,
"
452;Oui;LOC;"! R0-
dolphe.

";. reprit—il. vo
453;trouverez;LOC;" et vous y re—
"; ce que vous y 
454;Italienne;LOC;"uveau la jeune
"; regarda Rodolp
455;Laissons;LOC;"élicatesse.

— "; ce suiet de co
456;Naples;LOC;" révolution de
";, du Piémont et
457;Piémont;LOC;" de
Naples, du "; et d’ Espagne.
458;Espagne;LOC; Piémont et d’ ;. En sortant, i
459;indis—;LOC;vitlage aucune ;"
crétion n ’en…"
460;l’;LOC;rani de Milan, ;"un des
chefs de"
461;Autriche;LOC;pirateur que l’;" dé-
sire le pl"
462;France;LOC;"t pro-
poser à ";<ca de se prome
463;L’;LOC;er sur le lac. ;"ttalienne
accep"
464;l’;LOC;"e dont
s'assit ";italienne au bo
465;l’;LOC;"le; et, devant ";"expression

”d’"
466;l’;LOC;"ssal qui avait
";audace de se co
467;ameu—;LOC; Déjà, dans !' ;"
blement du sal"
468;elle—;LOC;ente. semblait ;" même
avoi1 un "
469;Lucerne;LOC;"t—il.

—— Vers ";. répondit en f
470;venant._enﬁn;LOC;"t ‘!
dit—il en "; s'asseoir près
471;deman—;LOC; d'elle et lui ;"
dant par un ge"
472;se-‘-;LOC;ntiment qui ne ;"_
rait pas en h"
473;Italie;LOC;"vons

aimer en ";"; mais je conna"
474;conju—;LOC;tion de la loi ;"
gale. Aussi la"
475;permet—;LOC;livrerje hc me ;"' '

trois pas "
476;qu‘une;LOC;uvant accorder ;"
tendresse inﬁn"
477;l’;LOC;se inﬁnie dont ;expression ne d
